# V_set	I	V	t
# "V_appl"	"I_meas"	"V_appl"	"Elapsed time"
# 201
-1	-0.009897643	-1	862.2912553
-0.99	-0.009815398	-0.99	862.322298
-0.98	-0.009716325	-0.98	862.353483
-0.97	-0.009625747	-0.97	862.3841025
-0.96	-0.009524583	-0.96	862.432381
-0.95	-0.009432991	-0.95	862.4613727
-0.94	-0.009319293	-0.94	862.4927644
-0.93	-0.009304005	-0.93	862.5236043
-0.92	-0.009130237	-0.92	862.5845031
-0.91	-0.009022043	-0.91	862.6338039
-0.9	-0.008926939	-0.9	862.6614774
-0.89	-0.008827416	-0.89	862.6927126
-0.88	-0.008727681	-0.88	862.7238544
-0.87	-0.008636015	-0.87	862.7547498
-0.86	-0.008529235	-0.86	862.8037208
-0.85	-0.008446016	-0.85	862.8324675
-0.84	-0.008333785	-0.84	862.8637274
-0.83	-0.00823591	-0.83	862.8944829
-0.82	-0.008215914	-0.82	862.925279
-0.81	-0.008089397	-0.81	862.9895705
-0.8	-0.007938022	-0.8	863.0179161
-0.79	-0.007837742	-0.79	863.0491521
-0.78	-0.007738465	-0.78	863.0803487
-0.77	-0.00764296	-0.77	863.1116981
-0.76	-0.007542209	-0.76	863.1609421
-0.75	-0.007453388	-0.75	863.1905105
-0.74	-0.007346778	-0.74	863.2217942
-0.73	-0.007251127	-0.73	863.2522802
-0.72	-0.007144566	-0.72	863.2835255
-0.71	-0.007054103	-0.71	863.3320405
-0.7	-0.006946045	-0.7	863.3608367
-0.69	-0.00685546	-0.69	863.3914964
-0.68	-0.006830704	-0.68	863.422879
-0.67	-0.006732136	-0.67	863.4848569
-0.66	-0.006633216	-0.66	863.565426
-0.65	-0.006531746	-0.65	863.6098591
-0.64	-0.006336569	-0.64	863.6719551
-0.63	-0.006254492	-0.63	863.7031149
-0.62	-0.006159226	-0.62	863.7345035
-0.61	-0.006060333	-0.61	863.7833123
-0.6	-0.005957344	-0.6	863.8111847
-0.59	-0.005861982	-0.59	863.842626
-0.58	-0.005841771	-0.58	863.8736891
-0.57	-0.00574284	-0.57	863.9348353
-0.56	-0.005581007	-0.56	863.9986269
-0.55	-0.005483293	-0.55	864.0268416
-0.54	-0.005368913	-0.54	864.0575009
-0.53	-0.005268389	-0.53	864.0877569
-0.52	-0.005170679	-0.52	864.1185949
-0.51	-0.005073671	-0.51	864.1670792
-0.5	-0.004963557	-0.5	864.1962327
-0.49	-0.004874271	-0.49	864.2267201
-0.48	-0.004776072	-0.48	864.2577244
-0.47	-0.004672307	-0.47	864.2896715
-0.46	-0.004654421	-0.46	864.3380969
-0.45	-0.004552922	-0.45	864.3817149
-0.44	-0.004454321	-0.44	864.4446461
-0.43	-0.004355047	-0.43	864.5077655
-0.42	-0.004256439	-0.42	864.5852221
-0.41	-0.004160062	-0.41	864.6498566
-0.4	-0.003963268	-0.4	864.6949156
-0.39	-0.003876617	-0.39	864.7268545
-0.38	-0.00378085	-0.38	864.7584217
-0.37	-0.003690962	-0.37	864.7888953
-0.36	-0.003580509	-0.36	864.8385303
-0.35	-0.00350399	-0.35	864.867126
-0.34	-0.003467182	-0.34	864.8979747
-0.33	-0.003368552	-0.33	864.9599416
-0.32	-0.003266724	-0.32	865.0216944
-0.31	-0.00316788	-0.31	865.1161939
-0.3	-0.003069279	-0.3	865.1599494
-0.29	-0.002970179	-0.29	865.2227266
-0.28	-0.00284803	-0.28	865.2685245
-0.27	-0.002698598	-0.27	865.2990067
-0.26	-0.002599208	-0.26	865.3478608
-0.25	-0.002506579	-0.25	865.3770906
-0.24	-0.002404536	-0.24	865.4076388
-0.23	-0.002378769	-0.23	865.4389939
-0.22	-0.002278113	-0.22	865.5013246
-0.21	-0.002178903	-0.21	865.5803166
-0.2	-0.002079647	-0.2	865.6245125
-0.19	-0.001983366	-0.19	865.7024901
-0.18	-0.001884432	-0.18	865.7638038
-0.17	-0.001785497	-0.17	865.8255695
-0.16	-0.00168655	-0.16	865.9046781
-0.15	-0.001587678	-0.15	865.9488088
-0.14	-0.001389569	-0.14	866.0097997
-0.13	-0.001312445	-0.13	866.0410635
-0.12	-0.001215096	-0.12	866.0718541
-0.11	-0.001192222	-0.11	866.1202681
-0.1	-0.001092727	-0.1	866.1645908
-0.09	-0.000993751	-0.09	866.2270555
-0.08	-0.0008951141	-0.08	866.2899658
-0.07	-0.0007961202	-0.07	866.3666779
-0.0599999999999999	-0.0006974308	-0.0599999999999999	866.4472223
-0.0499999999999999	-0.0005957856	-0.0499999999999999	866.4916026
-0.04	-0.0004967363	-0.04	866.5537505
-0.03	-0.0004007283	-0.03	866.6161129
-0.02	-0.000301397	-0.02	866.6780685
-0.01	-0.0002022832	-0.01	866.7580041
0	-3.68911e-05	0	866.7863138
0.01	-5.630287e-06	0.01	866.8165708
0.02	9.324657e-05	0.02	866.8781621
0.03	0.0001921399	0.03	866.9406461
0.04	0.0002908653	0.04	867.0200876
0.05	0.0003903975	0.05	867.063586
0.0600000000000001	0.0004893089	0.0600000000000001	867.1259724
0.0700000000000001	0.0005878753	0.0700000000000001	867.1711212
0.0800000000000001	0.0006868766	0.0800000000000001	867.2337681
0.0900000000000001	0.0007859949	0.0900000000000001	867.3135825
0.1	0.0008846603	0.1	867.3430789
0.11	0.0009838386	0.11	867.405332
0.12	0.001080425	0.12	867.466344
0.13	0.001181897	0.13	867.5126965
0.14	0.001280634	0.14	867.59245
0.15	0.001380016	0.15	867.6374178
0.16	0.001478712	0.16	867.6836233
0.17	0.001577562	0.17	867.7464273
0.18	0.00167675	0.18	867.8237579
0.19	0.001775279	0.19	867.9037115
0.2	0.001874564	0.2	867.9483143
0.21	0.00197369	0.21	868.0099573
0.22	0.002069737	0.22	868.0711477
0.23	0.002168693	0.23	868.1331964
0.24	0.002330972	0.24	868.2144066
0.25	0.002439221	0.25	868.2432108
0.26	0.002546735	0.26	868.2736612
0.27	0.00264857	0.27	868.3051717
0.28	0.002743479	0.28	868.3354735
0.29	0.002765128	0.29	868.3840056
0.3	0.002863906	0.3	868.4282934
0.31	0.002962768	0.31	868.4757441
0.32	0.003059107	0.32	868.5386176
