# V_set	I	V	t
# "V_appl"	"I_meas"	"V_appl"	"Elapsed time"
# 201
0.33	0.003160468	0.33	868.6015134
0.34	0.003259327	0.34	868.6655375
0.35	0.003358419	0.35	868.7108139
0.36	0.003457311	0.36	868.7571179
0.37	0.003553844	0.37	868.8187247
0.38	0.00365569	0.38	868.8789261
0.39	0.003754586	0.39	868.9433825
0.4	0.003850464	0.4	868.9887425
0.41	0.003952507	0.41	869.0358358
0.42	0.004048884	0.42	869.0973808
0.43	0.004147771	0.43	869.1603954
0.44	0.004246895	0.44	869.2411413
0.45	0.004345698	0.45	869.3005893
0.46	0.004444799	0.46	869.363444
0.47	0.004645054	0.47	869.4258907
0.48	0.004728979	0.48	869.4571168
0.49	0.004820185	0.49	869.5054239
0.5	0.004940033	0.5	869.5352259
0.51	0.005032709	0.51	869.5671847
0.52	0.005125625	0.52	869.5982498
0.53	0.005225392	0.53	869.6294052
0.54	0.005320134	0.54	869.6786206
0.55	0.005401339	0.55	869.7069097
0.56	0.005517899	0.56	869.7378978
0.57	0.005535925	0.57	869.7687442
0.58	0.005632051	0.58	869.8302193
0.59	0.005733662	0.59	869.8946359
0.6	0.005832452	0.6	869.9392635
0.61	0.005931285	0.61	869.98568
0.62	0.006030412	0.62	870.0476408
0.63	0.006126978	0.63	870.0945101
0.64	0.006225735	0.64	870.1734258
0.65	0.006327323	0.65	870.2017493
0.66	0.006424129	0.66	870.2625138
0.67	0.006525161	0.67	870.3102044
0.68	0.00662402	0.68	870.3722297
0.69	0.006780192	0.69	870.4524405
0.7	0.006913428	0.7	870.4816027
0.71	0.007001436	0.71	870.5129331
0.72	0.007100268	0.72	870.5438077
0.73	0.007198352	0.73	870.5748523
0.74	0.007304352	0.74	870.6245699
0.75	0.007388976	0.75	870.6534845
0.76	0.007500715	0.76	870.684809
0.77	0.007590638	0.77	870.7153782
0.78	0.00769747	0.78	870.7464446
0.79	0.007795606	0.79	870.7952434
0.8	0.007900953	0.8	870.8247242
0.81	0.007987091	0.81	870.8554879
0.82	0.008009444	0.82	870.8863462
0.83	0.008105803	0.83	870.9487692
0.84	0.00820765	0.84	871.0134592
0.85	0.008303637	0.85	871.0578237
0.86	0.008404975	0.86	871.1034578
0.87	0.008501835	0.87	871.165413
0.88	0.008600307	0.88	871.2120267
0.89	0.008699401	0.89	871.2914333
0.9	0.008798293	0.9	871.3198328
0.91	0.00889786	0.91	871.3817954
0.92	0.00899611	0.92	871.4287165
0.93	0.009097594	0.93	871.4906824
0.94	0.009241974	0.94	871.569914
0.95	0.00936448	0.95	871.5991133
0.96	0.009476193	0.96	871.6301208
0.97	0.009571601	0.97	871.6608522
0.98	0.009668999	0.98	871.6916158
0.99	0.009770613	0.99	871.7397168
1	0.009879908	1	871.7686741
