,x,low_V_f,low_V_f_100,T_V_f,T_V_f_100,pi_V_f,pi_V_f_100
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,40.0,0.0,0.0,0.0,0.0,0.0,0.0
2,80.0,0.101932824800053,0.04010404098326887,-0.7944158549838819,-0.21592009148931254,0.04881809742271175,0.3596817816517494
3,120.0,-0.06957777509685122,0.0973561840947741,-0.5304840651710111,0.11969346008898052,0.3510246329301965,-0.1365228963753056
4,160.0,0.27314699396170117,0.0434108281072353,-0.1821531213957101,0.02901934119348068,0.04620139958295427,0.03662999192010312
5,200.0,0.04853494352070721,0.04829914547939226,0.04758862557066101,0.0425463829146565,0.04811173852245742,0.0418889763315629
6,240.0,0.0497025094523547,0.04308216417934056,0.0478326802815527,0.0413098402579475,0.047819293670638245,0.03989893585531105
7,280.0,0.04822294745821264,0.0418930987025949,0.04629924402627805,0.040259670581222616,0.047330146907380195,0.037217688416922405
8,320.0,0.04793874449432991,0.0393371895115673,0.046017037021556344,0.03833626407899236,0.04650728842944095,0.03498423049817931
9,360.0,0.04729307389780853,0.03818060001424197,0.046633965999635894,0.03574734193718594,0.046072655078685174,0.032294244668596546
10,400.0,0.04677712022102,0.0358483974948856,0.044905631102782444,0.034080785473185646,0.045337232085434234,0.029354729720158013
11,440.0,0.046199339851792615,0.03305037162265245,0.043787901183503515,0.03232209727906359,0.0441896830149291,0.02693344858111953
12,480.0,0.044748024652055116,0.03199610814456425,0.04336755629430495,0.029138018947129852,0.043010041354269044,0.02365549033909235
13,520.0,0.044462677028100625,0.030173024071724917,0.04275142640144566,0.0259228336466713,0.042908038828551015,0.0199599809147278
14,560.0,0.044116539272910225,0.027534187349115176,0.040993462626448554,0.023400428760755196,0.04195286465084133,0.016987353011035898
15,600.0,0.04271124214197672,0.024390686403116077,0.040965637808187016,0.020860764307537475,0.04161383973148975,0.012866146683482863
16,640.0,0.04205487839417603,0.02202482589568098,0.03970619352319124,0.017989708270211673,0.03979277342162437,0.009205347603986383
17,680.0,0.040311203261048964,0.019080800663886583,0.03864552231633269,0.01523863697891134,0.03937945073321715,0.00589792675320742
18,720.0,0.03916814343339986,0.016391051360076514,0.0379342122541673,0.011160034303265285,0.03800122218402329,0.0018201103093532633
19,760.0,0.03804967490317139,0.014692866541237415,0.036333035218949164,0.008007497529145011,0.03701766989582472,-0.0017744055199750237
20,800.0,0.037320788707640516,0.01172774170544598,0.03456139684511112,0.005605091813053579,0.03600410336141198,-0.0056309875143012575
21,840.0,0.036098968685250095,0.008473003297985957,0.03427571436967512,0.001026059126366081,0.033997242560369234,-0.010851443165775094
22,880.0,0.035729811392244626,0.0041583616850877185,0.03258308676654787,-0.0030726901302181296,0.03247580338330469,-0.01637432101980376
23,920.0,0.03365068749185352,0.0014971150936860431,0.03213537681464222,-0.005752213282721939,0.030597103119195928,-0.01910309199251685
24,960.0,0.03238915051910381,-0.0019017914158169394,0.029713838971392303,-0.009786783492452917,0.029659147894144956,-0.024046632891287674
25,1000.0,0.031689707825254494,-0.0057765622615024315,0.02857454424657473,-0.014059687983616986,0.027885115563321964,-0.028850660777623126
26,1040.0,0.029899579698198918,-0.009300110591537448,0.026662999620986932,-0.01853599731415427,0.0262851823665263,-0.034063265240374584
27,1080.0,0.02776435658216061,-0.012285881964854316,0.026057038446317408,-0.021606429676358674,0.025443808690450063,-0.03854625799781547
28,1120.0,0.02657009470883264,-0.016597363217568186,0.02398179351502186,-0.026301614174802073,0.023114378954502014,-0.04440576178680909
29,1160.0,0.02463126408427032,-0.0204579390961248,0.022351190335448905,-0.03152256118948041,0.021360700134424697,-0.04999063814758513
30,1200.0,0.023347763073977464,-0.024403299445616523,0.019494057343963322,-0.03603751406594175,0.018033106696371218,-0.05675205419925882
31,1240.0,0.021277034786642564,-0.02906830958968873,0.017960775576708162,-0.041089017677558515,0.01681477045932357,-0.06191104261651883
32,1280.0,0.018315190314370816,-0.03273747477596259,0.016872642518204965,-0.04594516133605775,0.014599834373843776,-0.06826742530349851
33,1320.0,0.0174844111297951,-0.038126610360350796,0.014094340852219677,-0.050165597668303495,0.012785501846216867,-0.07364994016568424
34,1360.0,0.016126474568794767,-0.041293448609468486,0.012007962312852838,-0.05574532192645974,0.010804293412998007,-0.07928239336034698
35,1400.0,0.013921700808234076,-0.0458483553887236,0.00946910106737623,-0.06041468827093967,0.008432660139671007,-0.08521650574451338
36,1440.0,0.011738082177120118,-0.050323376714812074,0.008094393972025994,-0.06520810279203726,0.0059641496447947005,-0.09233609857833876
37,1480.0,0.00871712434902405,-0.05502681997264773,0.005944489586676842,-0.0703846439610609,0.00365432996233742,-0.09806969709002875
38,1520.0,0.007071238564822076,-0.05957225509964599,0.003240318955212415,-0.07634088212154254,0.0015530189546023225,-0.10622384836622784
39,1560.0,0.004762747230916439,-0.06389371812878093,0.0017497152181434297,-0.08145246820652688,-0.0017624955223773222,-0.11304126108946463
40,1600.0,0.00333657775194023,-0.06962109154803489,-0.0012514178843176884,-0.08672236845073165,-0.0034802890365718815,-0.11856863939049406
41,1640.0,0.0012403667831578837,-0.07397053268931351,-0.003961974365566397,-0.09219796101416046,-0.005437755130065941,-0.1263107818882368
42,1680.0,-0.001465787204438305,-0.0792249222328014,-0.00600658561060008,-0.09833045281874156,-0.00861653415012428,-0.13296103761151107
43,1720.0,-0.004825449198152883,-0.084284361185336,-0.00885285163740151,-0.10487966231215651,-0.011074343673544304,-0.14008779482875788
