# V_set	I	V	t
# "V_appl"	"I_meas"	"V_appl"	"Elapsed time"
# 201
0.19	0.001775468	0.19	7.7653461
0.2	0.001874079	0.2	7.8240521
0.21	0.001973599	0.21	7.8863501
0.22	0.002069996	0.22	7.9488755
0.23	0.002168608	0.23	8.0104603
0.24	0.00233854	0.24	8.0906892
0.25	0.002434032	0.25	8.1191347
0.26	0.002550797	0.26	8.1502315
0.27	0.002649469	0.27	8.1812818
0.28	0.002750218	0.28	8.2124645
0.29	0.002765029	0.29	8.2605055
0.3	0.002864121	0.3	8.305599
0.31	0.002963004	0.31	8.3517628
0.32	0.003058899	0.32	8.4137988
0.33	0.0031609	0.33	8.4742478
0.34	0.003259609	0.34	8.5543439
0.35	0.003358397	0.35	8.5829266
0.36	0.003457738	0.36	8.6458049
0.37	0.00355382	0.37	8.6926781
0.38	0.003655342	0.38	8.7540774
0.39	0.003754484	0.39	8.8174328
0.4	0.003850843	0.4	8.8626476
0.41	0.003952164	0.41	8.925548
0.42	0.004048677	0.42	8.9723625
0.43	0.004147795	0.43	9.0503003
0.44	0.00424641	0.44	9.1296369
0.45	0.004345978	0.45	9.1745214
0.46	0.004444514	0.46	9.2365237
0.47	0.004621191	0.47	9.2986854
0.48	0.00472569	0.48	9.3294046
0.49	0.004820895	0.49	9.3775518
0.5	0.004929384	0.5	9.4064934
0.51	0.005025027	0.51	9.4378678
0.52	0.00512196	0.52	9.4686621
0.53	0.005223937	0.53	9.5001876
0.54	0.005318823	0.54	9.5492724
0.55	0.005405672	0.55	9.578607
0.56	0.005515503	0.56	9.609504
0.57	0.005535517	0.57	9.6399348
0.58	0.005632175	0.58	9.7022955
0.59	0.00573353	0.59	9.7661471
0.6	0.005832173	0.6	9.8103244
0.61	0.005931353	0.61	9.8565579
0.62	0.006030084	0.62	9.9183376
0.63	0.006126818	0.63	9.9651936
0.64	0.006225475	0.64	10.0453293
0.65	0.006327506	0.65	10.0734722
0.66	0.006423688	0.66	10.13455
0.67	0.006524967	0.67	10.1810721
0.68	0.006623998	0.68	10.2427735
0.69	0.006768885	0.69	10.3222671
